name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR12744011	Escherichia coli	562	S	100	4	104	1.0
MVAST2235	Escherichia coli	562	S	95	16	111	1.0
SRR12898999	Escherichia coli	562	S	116	13	129	1.0
MVAST7143	Escherichia coli	562	S	78	8	86	1.0
SRR12744024	Escherichia coli	562	S	83	10	93	1.0
SRR9694239	Escherichia coli	562	S	77	10	87	1.0
53438	Escherichia coli	562	S	141	99	240	1.0
MVAST3050	Escherichia coli	562	S	149	19	168	1.0
MVC121	Escherichia coli	562	S	84	12	96	1.0
SRR12845610	Escherichia coli	562	S	58	14	72	1.0
MVAST4250	Escherichia coli	562	S	86	12	98	1.0
SRR958598	Escherichia coli	562	S	94	8	102	1.0
SRR10568449	Escherichia coli	562	S	60	16	76	1.0
MVC27	Escherichia coli	562	S	54	8	62	1.0
SRR9029425	Escherichia coli	562	S	94	12	106	1.0
MVC549	Escherichia coli	562	S	96	6	102	1.0
SRR10559650	Escherichia coli	562	S	154	6	160	1.0
SRR10384590	Escherichia coli	562	S	61	7	68	1.0
SRR7660838	Escherichia coli	562	S	95	11	106	1.0
SRR11668383	Escherichia coli	562	S	58	11	69	1.0
SRR9997955	Escherichia coli	562	S	46	4	50	1.0
SRR5642062	Escherichia coli	562	S	47	16	63	1.0
SRR8738211	Escherichia coli	562	S	70	7	77	1.0
SRR7690507	Escherichia coli	562	S	103	12	115	1.0
SRR11668369	Escherichia coli	562	S	121	27	148	0.9673200000000001
SRR11668369	Escherichia marmotae	1499973	S	4	0	4	0.026139999999999997
SRR6160438	Escherichia coli	562	S	78	14	92	1.0
SRR11668364	Escherichia coli	562	S	114	18	132	0.9361700000000001
SRR11668364	Escherichia marmotae	1499973	S	8	0	8	0.05674
SRR12744080	Escherichia coli	562	S	90	3	93	1.0
MVC234	Escherichia coli	562	S	117	9	126	0.94737
MVC234	Escherichia marmotae	1499973	S	6	0	6	0.045110000000000004
MVC682	Escherichia coli	562	S	49	8	57	1.0
MVC380	Escherichia coli	562	S	116	17	133	1.0
SRR8207013	Escherichia coli	562	S	103	8	111	1.0
SRR11319494	Escherichia coli	562	S	85	14	99	1.0
SRR11484486	Escherichia coli	562	S	95	10	105	1.0
SRR10597532	Escherichia coli	562	S	95	13	108	1.0
SRR11668378	Escherichia coli	562	S	101	17	118	0.9218799999999999
SRR11668378	Escherichia marmotae	1499973	S	9	0	9	0.07031
SRR11668384	Escherichia coli	562	S	75	13	88	1.0
ERR3330197	Escherichia coli	562	S	32	8	40	1.0
SRR7588681	Escherichia coli	562	S	110	14	124	1.0
MVAST6902	Escherichia coli	562	S	92	14	106	1.0
MVC214	Escherichia coli	562	S	81	12	93	1.0
T10	Escherichia coli	562	S	72	20	92	1.0
SRR8099014	Escherichia coli	562	S	79	9	88	1.0
SRR7904907	Escherichia coli	562	S	55	15	70	1.0
SRR6742565	Escherichia coli	562	S	52	7	59	1.0
SRR11612991	Escherichia coli	562	S	95	12	107	1.0
SRR11319477	Escherichia coli	562	S	74	11	85	1.0
SRR8868738	Escherichia coli	562	S	87	6	93	1.0
SRR7659844	Escherichia coli	562	S	94	8	102	1.0
SRR11668376	Escherichia coli	562	S	73	10	83	1.0
MVC20	Escherichia coli	562	S	62	9	71	1.0
SRR10947454	Escherichia coli	562	S	56	4	60	1.0
SRR8632524	Escherichia coli	562	S	82	8	90	1.0
SRR9998325	Escherichia coli	562	S	94	9	103	1.0
MVC108	Escherichia coli	562	S	76	11	87	1.0
SRR7967826	Escherichia coli	562	S	26	5	31	1.0
SRR8738079	Escherichia coli	562	S	94	20	114	1.0
FG24	Escherichia coli	562	S	39	30	69	0.92
FG24	Salmonella enterica	28901	S	4	1	5	0.06667000000000001
SRR11668379	Escherichia coli	562	S	77	8	85	1.0
SRR12955958	Escherichia coli	562	S	72	11	83	1.0
MVC520	Escherichia coli	562	S	103	24	127	1.0
SRR9901263	Escherichia coli	562	S	88	5	93	1.0
SD_3_B6	Escherichia coli	562	S	37	5	42	1.0
SRR3578921	Escherichia coli	562	S	81	10	91	1.0
MVC309	Escherichia coli	562	S	73	10	83	1.0
SRR11266544	Escherichia coli	562	S	66	11	77	1.0
SRR12272109	Escherichia coli	562	S	82	5	87	1.0
SRR11668374	Escherichia coli	562	S	92	9	101	1.0
SRR3578599	Escherichia coli	562	S	138	8	146	1.0
MVC61	Escherichia coli	562	S	90	10	100	1.0
SRR11668370	Escherichia coli	562	S	88	15	103	1.0
SRR9998284	Escherichia coli	562	S	81	15	96	1.0
MVC657	Escherichia coli	562	S	70	8	78	1.0
SRR11101175	Escherichia coli	562	S	106	6	112	1.0
SRR11484529	Escherichia coli	562	S	127	15	142	1.0
SRR11997338	Escherichia coli	562	S	59	18	77	1.0
SRR11668371	Escherichia coli	562	S	97	8	105	1.0
A10	Escherichia coli	562	S	91	36	127	1.0
SRR8541299	Escherichia coli	562	S	126	11	137	1.0
MVC799	Escherichia coli	562	S	74	5	79	1.0
SRR11668380	Escherichia coli	562	S	83	13	96	1.0
SRR12744028	Escherichia coli	562	S	90	15	105	1.0
MVC437	Escherichia coli	562	S	70	5	75	1.0
MVAST6379	Escherichia coli	562	S	86	14	100	1.0
SD_3_E5	Escherichia coli	562	S	32	4	36	1.0
MVC136	Escherichia coli	562	S	73	8	81	1.0
MVC434	Escherichia coli	562	S	62	8	70	1.0
